500,1000,1500,2000,2500,3000
0.188225,1.677029,7.069061,23.583816,53.358277,100.461269
0.187499,1.872592,6.497320,23.284414,53.634395,101.157015
0.193655,1.979148,6.149575,23.209233,53.710352,102.965823
0.190697,1.792222,6.095405,23.518434,53.371076,100.811072
0.187585,1.675732,6.118490,23.569446,54.338652,104.018062
0.186755,1.918775,6.291377,23.404865,55.466592,101.821718
0.195410,1.670739,6.245649,23.595156,54.857552,101.433885
0.189573,1.720232,6.185134,24.229897,53.451777,103.934481
0.192086,1.670251,6.216510,24.472781,54.622562,102.981981
0.185585,1.661215,6.162147,24.048860,53.734798,102.665397
0.187972,1.657184,6.261856,24.133190,53.877514,103.552802
0.188263,1.695296,6.142307,24.155305,53.946928,104.124196
0.191913,1.697363,6.233388,24.865217,54.572397,103.383772
0.189599,1.680568,6.244004,24.817115,53.872459,102.594750
0.190328,1.691472,6.297296,25.388328,54.301657,103.339966
0.184614,1.677642,6.346848,24.582631,55.459878,103.582703
0.193673,1.698657,6.291326,24.423304,53.427393,101.960027
0.187603,1.678004,6.682203,23.313293,53.306317,102.504852
0.193527,1.732608,7.079087,23.539146,55.097133,102.812967
0.190371,2.120245,6.262980,24.310548,53.831664,102.629125
0.188052,1.711416,6.161188,23.591208,53.665708,102.261512
0.183392,1.676815,6.176025,23.383569,54.126842,102.758165
0.189099,1.664882,6.579851,23.447468,54.247915,102.598694
0.190327,1.658113,6.244482,23.138168,53.383555,102.232965
0.192443,1.851231,6.222203,23.802669,53.397417,102.316267
0.192239,1.712236,6.235400,23.209239,53.400908,103.351468
0.187571,1.714672,6.183564,24.852303,53.931122,102.307734
0.185760,1.702190,6.242251,23.411943,53.752370,103.335204
0.185525,1.669550,6.156177,23.250908,53.664671,103.041327
0.191788,1.665732,6.155654,23.492022,53.425516,103.060552
